IsCanceled,ArrivalDateWeekNumber,Country,MarketSegment,DepositType,CustomerType,RequiredCarParkingSpaces
0,27,PRT,Offline TA/TO,No Deposit     ,Transient,0
1,27,PRT,Online TA,No Deposit     ,Transient,0
1,27,PRT,Online TA,No Deposit     ,Transient,0
1,27,PRT,Online TA,No Deposit     ,Transient,0
1,27,PRT,Online TA,No Deposit     ,Transient,0
1,27,PRT,Online TA,No Deposit     ,Transient,0
0,27,PRT,Groups,No Deposit     ,Transient-Party,0
1,27,PRT,Online TA,No Deposit     ,Transient,0
1,27,PRT,Online TA,No Deposit     ,Transient,0
1,27,PRT,Online TA,No Deposit     ,Transient,0
0,27,PRT,Groups,No Deposit     ,Transient-Party,0
0,27,PRT,Groups,No Deposit     ,Transient-Party,0
0,27,PRT,Groups,No Deposit     ,Transient-Party,0
0,27,PRT,Groups,No Deposit     ,Transient-Party,0
1,27,PRT,Groups,No Deposit     ,Transient-Party,0
0,27,PRT,Groups,No Deposit     ,Transient-Party,0
1,27,PRT,Groups,No Deposit     ,Transient-Party,0
0,27,PRT,Groups,No Deposit     ,Transient-Party,0
0,27,PRT,Groups,No Deposit     ,Transient-Party,0
1,27,PRT,Groups,No Deposit     ,Transient-Party,0
1,27,PRT,Groups,No Deposit     ,Transient-Party,0
1,27,PRT,Offline TA/TO,No Deposit     ,Transient,0
0,27,PRT,Groups,No Deposit     ,Transient-Party,0
0,27,PRT,Groups,No Deposit     ,Transient-Party,0
1,27,PRT,Online TA,No Deposit     ,Transient,0
0,27,PRT,Online TA,No Deposit     ,Transient,0
1,27,PRT,Online TA,No Deposit     ,Transient,0
1,27,PRT,Online TA,No Deposit     ,Transient,0
1,27,PRT,Online TA,No Deposit     ,Transient,0
0,27,PRT,Groups,No Deposit     ,Transient-Party,0
1,28,PRT,Online TA,No Deposit     ,Transient,0
1,28,PRT,Online TA,No Deposit     ,Transient,0
1,28,PRT,Online TA,No Deposit     ,Transient,0
1,28,PRT,Online TA,No Deposit     ,Transient,0
1,28,PRT,Online TA,No Deposit     ,Transient,0
1,28,PRT,Online TA,No Deposit     ,Transient,0
1,28,PRT,Online TA,No Deposit     ,Transient,0
1,28,PRT,Online TA,No Deposit     ,Transient,0
1,28,PRT,Online TA,No Deposit     ,Transient,0
1,28,PRT,Online TA,No Deposit     ,Transient,0
1,28,PRT,Online TA,No Deposit     ,Transient,0
1,28,PRT,Online TA,No Deposit     ,Transient,0
1,28,PRT,Online TA,No Deposit     ,Transient,0
1,28,PRT,Online TA,No Deposit     ,Transient-Party,0
0,28,PRT,Offline TA/TO,No Deposit     ,Transient,0
1,28,PRT,Online TA,No Deposit     ,Transient-Party,0
1,28,PRT,Online TA,No Deposit     ,Transient-Party,0
1,28,PRT,Complementary,No Deposit     ,Transient,0
1,28,PRT,Online TA,No Deposit     ,Transient,0
1,28,PRT,Online TA,No Deposit     ,Transient-Party,0
1,28,PRT,Direct,No Deposit     ,Transient-Party,0
1,28,PRT,Direct,No Deposit     ,Transient-Party,0
1,28,PRT,Online TA,No Deposit     ,Transient,0
0,28,PRT,Online TA,No Deposit     ,Transient,0
1,28,PRT,Online TA,No Deposit     ,Transient,0
1,28,PRT,Online TA,No Deposit     ,Transient,0
1,28,PRT,Online TA,No Deposit     ,Transient,0
0,28,PRT,Groups,No Deposit     ,Transient-Party,0
1,28,PRT,Online TA,No Deposit     ,Transient,0
0,28,PRT,Offline TA/TO,No Deposit     ,Transient,0
1,28,PRT,Online TA,No Deposit     ,Transient,0
0,28,PRT,Online TA,No Deposit     ,Transient,0
1,28,PRT,Online TA,No Deposit     ,Transient,0
1,28,PRT,Online TA,No Deposit     ,Transient,0
1,28,PRT,Online TA,No Deposit     ,Transient,0
1,28,PRT,Online TA,No Deposit     ,Transient,0
1,28,PRT,Online TA,No Deposit     ,Transient,0
0,28,PRT,Online TA,No Deposit     ,Transient,0
1,28,PRT,Groups,No Deposit     ,Transient,0
1,28,PRT,Online TA,No Deposit     ,Transient,0
1,28,PRT,Direct,No Deposit     ,Transient,0
1,28,PRT,Online TA,No Deposit     ,Transient,0
0,28,PRT,Offline TA/TO,No Deposit     ,Transient,0
1,28,PRT,Online TA,No Deposit     ,Transient,0
1,28,PRT,Online TA,No Deposit     ,Transient,0
0,28,PRT,Online TA,No Deposit     ,Transient,0
0,28,PRT,Offline TA/TO,No Deposit     ,Transient-Party,0
0,28,PRT,Online TA,No Deposit     ,Transient,0
0,28,PRT,Offline TA/TO,No Deposit     ,Transient-Party,0
1,28,PRT,Online TA,No Deposit     ,Transient,0
0,28,PRT,Offline TA/TO,No Deposit     ,Transient-Party,0
0,28,PRT,Offline TA/TO,No Deposit     ,Transient-Party,0
1,28,PRT,Online TA,No Deposit     ,Transient,0
1,28,PRT,Online TA,No Deposit     ,Transient,0
0,28,PRT,Offline TA/TO,No Deposit     ,Transient-Party,0
1,28,ITA,Offline TA/TO,No Deposit     ,Transient-Party,0
0,28,PRT,Offline TA/TO,No Deposit     ,Transient-Party,0
0,28,PRT,Online TA,No Deposit     ,Transient,0
0,28,PRT,Offline TA/TO,No Deposit     ,Transient-Party,0
0,28,PRT,Offline TA/TO,No Deposit     ,Transient-Party,0
0,28,PRT,Offline TA/TO,No Deposit     ,Transient-Party,0
1,28,ITA,Offline TA/TO,No Deposit     ,Transient-Party,0
1,28,ITA,Offline TA/TO,No Deposit     ,Transient-Party,0
0,28,PRT,Offline TA/TO,No Deposit     ,Transient-Party,0
1,28,ITA,Offline TA/TO,No Deposit     ,Transient-Party,0
0,28,PRT,Offline TA/TO,No Deposit     ,Transient-Party,0
0,28,PRT,Offline TA/TO,No Deposit     ,Transient-Party,0
1,28,ITA,Offline TA/TO,No Deposit     ,Transient-Party,0
1,28,ITA,Offline TA/TO,No Deposit     ,Transient-Party,0
0,28,PRT,Offline TA/TO,No Deposit     ,Transient-Party,0
1,28,ITA,Offline TA/TO,No Deposit     ,Transient-Party,0
0,28,PRT,Online TA,No Deposit     ,Transient,0
0,28,PRT,Offline TA/TO,No Deposit     ,Transient-Party,0
0,28,PRT,Online TA,No Deposit     ,Transient,0
0,28,PRT,Offline TA/TO,No Deposit     ,Transient-Party,0
0,28,PRT,Offline TA/TO,No Deposit     ,Transient-Party,0
0,28,PRT,Offline TA/TO,No Deposit     ,Transient-Party,0
0,28,PRT,Offline TA/TO,No Deposit     ,Transient-Party,0
1,28,ITA,Offline TA/TO,No Deposit     ,Transient-Party,0
1,28,PRT,Online TA,No Deposit     ,Transient,0
0,28,PRT,Offline TA/TO,No Deposit     ,Transient-Party,0
1,28,ITA,Offline TA/TO,No Deposit     ,Transient-Party,0
0,28,PRT,Offline TA/TO,No Deposit     ,Transient-Party,0
0,28,PRT,Offline TA/TO,No Deposit     ,Transient-Party,0
1,28,ITA,Offline TA/TO,No Deposit     ,Transient-Party,0
1,28,ITA,Offline TA/TO,No Deposit     ,Transient-Party,0
1,29,PRT,Online TA,No Deposit     ,Transient,0
1,29,PRT,Online TA,No Deposit     ,Transient,0
0,29,PRT,Offline TA/TO,No Deposit     ,Transient,0
1,29,PRT,Direct,No Deposit     ,Transient,0
1,29,PRT,Online TA,No Deposit     ,Transient-Party,0
1,29,PRT,Direct,No Deposit     ,Transient,0
1,29,PRT,Direct,No Deposit     ,Transient,0
1,29,PRT,Direct,No Deposit     ,Transient,0
1,29,PRT,Online TA,No Deposit     ,Transient-Party,0
1,29,PRT,Direct,No Deposit     ,Transient,0
1,29,PRT,Online TA,No Deposit     ,Transient,0
1,29,PRT,Direct,No Deposit     ,Transient,0
1,29,PRT,Online TA,No Deposit     ,Transient,0
1,29,PRT,Online TA,No Deposit     ,Transient,0
1,29,PRT,Online TA,No Deposit     ,Transient,0
1,29,PRT,Online TA,No Deposit     ,Transient,0
1,29,PRT,Online TA,No Deposit     ,Transient,0
1,29,PRT,Online TA,No Deposit     ,Transient,0
