,Date,Title,Article,Company,Source
0,2021-05-24,Reliance-BP 'bubble' delivers two deep water gas fields despite massive COVID-19 challenge,"New Delhi, May 23 (PTI) Just four months in a year are available for construction in Bay of Bengal. Even that window got complicated with constantly changing restrictions on movement of people and material across the globe because of the pandemic. But work bubbles for over 4,000 persons at peak of the project alongside navigating restrictions to source material and people globally helped deliver two deep sea gas fields.",Reliance,Yahoo! Finance
1,2021-05-23,"Nine of top-10 firms gain Rs 2.41 lakh cr in m-cap; HDFC Bank, RIL lead chart","New Delhi, May 23 (PTI) Nine of the 10 most valued companies together added Rs 2,41,177.27 crore in market valuation last week, in line with a strong broader market, with HDFC Bank and Reliance Industries topping the list.",Reliance,Yahoo! Finance
2,2021-05-21,India's gas output rises 23 pc as RIL-BP fields start production,"New Delhi, May 21 (PTI) India's natural gas production jumped 22.7 per cent in April after Reliance Industries Ltd and its partner BP Plc ramped up output from their eastern offshore KG-D6 block, government data released on Friday showed.",Reliance,Yahoo! Finance
3,2021-05-20,RIL entities seek NCLT nod for shareholders' meeting to approve Future Group deal,"New Delhi, May 20 (PTI) Reliance Retail and Reliance Fashion have approached the National Company Law Tribunal (NCLT) seeking its permission to hold meetings of their shareholders and creditors to consider and approve the proposed merger with Future Group's retail, logistics and warehousing business in a Rs 24,713 crore deal.",Reliance,Yahoo! Finance
4,2021-05-16,M-cap of eight most valued companies plummets over Rs 1.13 lakh crore,"New Delhi, May 16 (PTI) Eight of the top-10 most valued companies witnessed a combined erosion of Rs 1,13,074.57 crore in market valuation last week, with Tata Consultancy Services, Infosys and HDFC Bank emerging as the worst hit.",Reliance,Yahoo! Finance
5,2021-05-15,Reliance brings back chatbot to assist investors on rights issue,"New Delhi, May 15 (PTI) Reliance Industries Ltd has once again launched an AI-enabled WhatsApp chatbot to address investor queries about the first call for payment of money relating to its Rs 53,125 crore rights issue.",Reliance,Yahoo! Finance
6,2021-05-13,"Intense bidding for KG-D6 gas in e-auction on DGH-approved platform; O2C, IOC bag supplies","New Delhi, May 13 (PTI) As many as 14 users across sectors slugged it on a third party electronic platform for seven-and-half hours to secure natural gas supplies from the eastern offshore KG-D6 block before the oil-to-chemical (O2C) unit of Reliance Industries Ltd bagged most of the supplies, sources said.",Reliance,Yahoo! Finance
7,2021-05-13,Business highlights,"New Delhi, May 13 (PTI) Following are the top business stories at 1930 hours:  DCM50 BIZ-FM-HOUSING SWAMIH Fund for stalled housing projs to benefit 1.16 lakh home buyers: Sitharaman New Delhi:  Finance Minister Nirmala Sitharaman on Thursday said the Special Window for Affordable and Mid-Income Housing (SWAMIH) Fund will benefit 1.16 lakh home loan borrowers whose housing projects were stalled due to last mile funding issues.",Reliance,Yahoo! Finance
8,2021-05-13,Intense bidding for KG-D6 gas in e-auction on DGH-approved platform,"New Delhi, May 13 (PTI) As many as 14 users across sectors slugged it on a third party electronic platform for seven-and-half hours to secure natural gas supplies from the eastern offshore KG-D6 block before the oil-to-chemical (O2C) unit of Reliance Industries Ltd bagged most of the supplies, sources said.",Reliance,Yahoo! Finance
9,2021-05-10,"Reliance, affiliates buy 3/4 of KG-D6 gas volumes","New Delhi, May 10 (PTI) Billionaire Mukesh Ambani's Reliance Industries Ltd and its affiliates have picked up more than three-fourths of the new gas volumes from the firm's eastern offshore KG-D6 block which at current government dictated price will cost it less than half of the imported rate, sources said.",Reliance,Yahoo! Finance
