Title,Date,Article
"Tata Motors  extends free service, warranty period on CVs by 1 month",5 days ago,"New Delhi, May 19 (PTI) Tata Motors on Wednesday said it has extended warranty and free service period by one month for those commercial vehicle customers whose tenures are due between April 1 and June 30 amid the second wave of COVID-19 pandemic."
,,EMI starts at ₹649*/L. End to End Online Application.*T&C Apply
EESL-Subsidy CESL to Procure 300 Electric Vehicles From Tata Motors For Government Fleet,5 days ago,"The procurement is a part of the scaling up demand side energy efficiency sector project, financed by the Asian Development Bank line of credit to CESL."
"Stocks to Watch Today: Axis Bank, Tata Motors, Adani Ports & SEZ and More",5 days ago,Indian markets may open lower on Wednesday as trends on SGX Nifty indicate a negative start and following losses in Asian peers
"Tata Motors' Q4 net loss narrows to Rs 7,585 cr on improved sales",6 days ago,"New Delhi, May 18 (PTI) Home-grown auto major Tata Motors on Tuesday reported a narrowing of consolidated net loss at Rs 7,585 crore for the fourth quarter ended March 31, 2021, aided by improved sales."
Jaguar Land Rover posts £534m profit thanks to strong sales in China,6 days ago,New Land Rover Defender wins over customers with soaring sales as company posts strong results.
,,Secure your family with Max Life Term Insurance.
Business highlights,6 days ago,"New Delhi, Apr 18 (PTI) Following are the top business stories at 1930 hours:  DEL56 BIZ-LD STOCKS Sensex, Nifty spurt to 2-month highs on decline in fresh COVID-19 cases Mumbai: Equity benchmarks Sensex and Nifty on Tuesday settled above the levels not seen in over two months as economic recovery hopes amid continuous decline in fresh COVID-19 cases further perked up investor sentiment."
CESL to procure 300 electric vehicles from Tata Motors,6 days ago,"New Delhi, May 18 (PTI) State-owned CESL on Tuesday said it will procure 300 electric vehicles from Tata Motors."
"COVID-19 Effect: A List of Automakers Announcing Extension on Warranty, Service in India",6 days ago,"Due to the on-going lockdown across the country, several customers are unable to service vehicles which are scheduled for maintenance."
"Top Stocks For Investors Today: Bharti Airtel, Union Bank of India, Strides Pharma Science",6 days ago,"The Nifty futures were trading at 15,104 on the SGX around 07:30 hours IST."
,,"Start a SIP. With SIPs, you can invest small amounts at regular intervals to get the benefit of rupee cost averaging. Click here to know more!"
Tata Motors Jamshedpur plant to undergo five-day block closure,7 days ago,"Ranchi, May 17 (PTI) Homegrown automobile giant Tata Motors will undertake a block closure at its Jamshedpur facility from May 18 to May 22, as per an internal communication sent to its employees on Monday."
Tata Motors board to meet next week to consider fund-raise proposal,10 days ago,"New Delhi, May 14 (PTI) Tata Motors on Friday said its board will meet next week to consider a proposal to raise funds through various means."
"COVID-19 Effect: Automakers in India Announcing Extension on Warranty, Service - A List",10 days ago,"Due to the on-going lockdown across the country, several customers are unable to service vehicles which are scheduled for maintenance."
Jaguar Land Rover's fourth quarter is 'good news' -CEO,12 days ago,"LONDON (Reuters) -Jaguar Land Rover's (JLR) fourth-quarter results next week will be ""good news"" and the carmaker is open to doing more in partnership with other companies, including going further on an existing relationship with BMW, its boss said on Wednesday.  ""You don't know what is quarter four but I can tell you that it's going to be good news again,"" Chief Executive Thierry Bollore said at an online FT conference.  JLR is due to report next week alongside parent company Tata Motors."
,,Tata AIG provides you with extensive yet simplified health insurance policies based on your requirements.
Tata Motors Announces Extension of Warranty and Free Service Amidst Covid-19 Lockdown,13 days ago,"Tata Motors has announced that the customers whose warranty and free service period (not kms.) are due to expire between 1st April 2021 and 31st May 2021, will be extended till 30th June 2021."
Tata Motors extends free service period amid pandemic,13 days ago,"New Delhi, May 11 (PTI) Tata Motors on Tuesday said it has extended warranty and free service period till June 30 for those passenger vehicle customers whose tenures are due on April 1 and May 31, in view of the ongoing curbs across the country due to the second wave of the pandemic."
Tata Motors reviewing CCI order on probe against commercial vehicle biz,13 days ago,"New Delhi, May 11 (PTI) Homegrown auto major Tata Motors on Tuesday said it is reviewing the order by the Competition Commission of India (CCI) to initiate investigation against its commercial vehicles business in India for alleged abuse of its dominant position."
"Tata Safari, Harrier Prices Hikes by Upto Rs 36,000 Due to Rise in Input Costs",14 days ago,"However, for individuals who had booked their SUVs on or before May 7, the regular price continues to remain in effect."
,,Over 6 million others have found love and happiness on Shaadi.com. You can too! What are you waiting for? Sign up today
"Tata Harrier, Nexon, Tigor and Tiago Get Discounts for May 2021, See List of Offers",14 days ago,"The flagship model of Tata Motors, the Tata Safari will be an exception from the discount spree."
Mahindra evaluating options as commodity prices surge,15 days ago,"New Delhi, May 9 (PTI) Homegrown auto major Mahindra & Mahindra (M&M) is keeping a close watch on recent increase in commodity prices, especially that of steel, to see how situation pans out before initiating any action to safeguard its business, said a top company official."
Tata Motors to hike passenger vehicle prices from May 8,17 days ago,"New Delhi, May 7 (PTI) Tata Motors on Friday said it will increase prices of its passenger vehicles by an average of 1.8 per cent depending upon the model and variant from May 8, in order to partially offset the rise in input costs."
CCI orders probe against Tata Motors for alleged unfair biz practices,19 days ago,"New Delhi, May 5 (PTI) The Competition Commission has ordered a detailed probe against Tata Motors for alleged abuse of dominant position with respect to dealership agreements."
,,Stranded? Get 24x7 roadside assistance for your car with Bajaj Allianz Motor Insurance.
"Tata Harrier, Safari Combined Sales Surpasses MG Hector, Hector Plus in April 2021",19 days ago,"Tata Motors in the month of April retailed 3,226 units of its popular Safari and Harrier models, surpassing MG Hector and Hector Plus which witnessed a sales figure of 2,147 units."
"IPL advertisers back tournament's suspension, silent about losses",20 days ago,"New Delhi, May 4 (PTI) Advertisers on the Indian Premier League (IPL) remained silent about losses due to indefinite suspension of the tournament, although industry insiders said it was the right thing to do considering the current surge in COVID-19 cases in the country."
